Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Czas_ms
6;QuickSort;Tablica;int;25000;Right;NULL;2172,95
7;QuickSort;Tablica;int;25000;Right;NULL;1859,43
8;QuickSort;Tablica;int;25000;Right;NULL;2212,14
9;QuickSort;Tablica;int;25000;Right;NULL;1987,89
10;QuickSort;Tablica;int;25000;Right;NULL;2442,39
11;QuickSort;Tablica;int;25000;Right;NULL;2389,51
12;QuickSort;Tablica;int;25000;Right;NULL;2410,24
13;QuickSort;Tablica;int;25000;Right;NULL;2561,28
14;QuickSort;Tablica;int;25000;Right;NULL;2444,01
15;QuickSort;Tablica;int;25000;Right;NULL;2253,24
16;QuickSort;Tablica;int;25000;Right;NULL;2481,54
17;QuickSort;Tablica;int;25000;Right;NULL;2407,76
18;QuickSort;Tablica;int;25000;Right;NULL;2879,45
19;QuickSort;Tablica;int;25000;Right;NULL;2671,2
20;QuickSort;Tablica;int;25000;Right;NULL;2456,38
21;QuickSort;Tablica;int;25000;Right;NULL;2655,17
22;QuickSort;Tablica;int;25000;Right;NULL;2527,58
23;QuickSort;Tablica;int;25000;Right;NULL;2518,47
24;QuickSort;Tablica;int;25000;Right;NULL;2686,02
25;QuickSort;Tablica;int;25000;Right;NULL;2597,86
26;QuickSort;Tablica;int;25000;Right;NULL;2370,74
27;QuickSort;Tablica;int;25000;Right;NULL;2544,07
28;QuickSort;Tablica;int;25000;Right;NULL;2553,09
29;QuickSort;Tablica;int;25000;Right;NULL;2700,98
30;QuickSort;Tablica;int;25000;Right;NULL;2134,06
31;QuickSort;Tablica;int;25000;Right;NULL;2497,57
32;QuickSort;Tablica;int;25000;Right;NULL;2080,78
33;QuickSort;Tablica;int;25000;Right;NULL;2013,42
34;QuickSort;Tablica;int;25000;Right;NULL;1994,28
35;QuickSort;Tablica;int;25000;Right;NULL;2334,05
36;QuickSort;Tablica;int;25000;Right;NULL;2093,05
37;QuickSort;Tablica;int;25000;Right;NULL;2178,68
38;QuickSort;Tablica;int;25000;Right;NULL;2008,33
39;QuickSort;Tablica;int;25000;Right;NULL;1804,81
40;QuickSort;Tablica;int;25000;Right;NULL;2401,92
41;QuickSort;Tablica;int;25000;Right;NULL;2067,36
42;QuickSort;Tablica;int;25000;Right;NULL;2553,72
43;QuickSort;Tablica;int;25000;Right;NULL;2195,9
44;QuickSort;Tablica;int;25000;Right;NULL;2468,79
45;QuickSort;Tablica;int;25000;Right;NULL;2222,37
46;QuickSort;Tablica;int;25000;Right;NULL;2430,81
47;QuickSort;Tablica;int;25000;Right;NULL;2043,49
48;QuickSort;Tablica;int;25000;Right;NULL;1990,7
49;QuickSort;Tablica;int;25000;Right;NULL;2239,25
50;QuickSort;Tablica;int;25000;Right;NULL;2138,7

SREDNIA;;;;; ; ;2268,31
1;QuickSort;Tablica;int;25000;Centre;NULL;2,6581
2;QuickSort;Tablica;int;25000;Centre;NULL;2,3736
3;QuickSort;Tablica;int;25000;Centre;NULL;2,9197
4;QuickSort;Tablica;int;25000;Centre;NULL;2,499
5;QuickSort;Tablica;int;25000;Centre;NULL;2,2725
6;QuickSort;Tablica;int;25000;Centre;NULL;2,139
7;QuickSort;Tablica;int;25000;Centre;NULL;3,8113
8;QuickSort;Tablica;int;25000;Centre;NULL;3,7434
9;QuickSort;Tablica;int;25000;Centre;NULL;2,2785
10;QuickSort;Tablica;int;25000;Centre;NULL;2,7421
11;QuickSort;Tablica;int;25000;Centre;NULL;3,0306
12;QuickSort;Tablica;int;25000;Centre;NULL;2,3324
13;QuickSort;Tablica;int;25000;Centre;NULL;2,2994
14;QuickSort;Tablica;int;25000;Centre;NULL;2,2776
15;QuickSort;Tablica;int;25000;Centre;NULL;2,5359
16;QuickSort;Tablica;int;25000;Centre;NULL;2,1246
17;QuickSort;Tablica;int;25000;Centre;NULL;2,4813
18;QuickSort;Tablica;int;25000;Centre;NULL;2,0985
19;QuickSort;Tablica;int;25000;Centre;NULL;2,1624
20;QuickSort;Tablica;int;25000;Centre;NULL;2,1302
21;QuickSort;Tablica;int;25000;Centre;NULL;2,1827
22;QuickSort;Tablica;int;25000;Centre;NULL;2,1466
23;QuickSort;Tablica;int;25000;Centre;NULL;2,1162
24;QuickSort;Tablica;int;25000;Centre;NULL;2,1446
25;QuickSort;Tablica;int;25000;Centre;NULL;2,1539
26;QuickSort;Tablica;int;25000;Centre;NULL;2,2039
27;QuickSort;Tablica;int;25000;Centre;NULL;2,1296
28;QuickSort;Tablica;int;25000;Centre;NULL;2,3225
29;QuickSort;Tablica;int;25000;Centre;NULL;2,3443
30;QuickSort;Tablica;int;25000;Centre;NULL;2,0914
31;QuickSort;Tablica;int;25000;Centre;NULL;2,1795
32;QuickSort;Tablica;int;25000;Centre;NULL;2,1652
33;QuickSort;Tablica;int;25000;Centre;NULL;2,1085
34;QuickSort;Tablica;int;25000;Centre;NULL;2,1872
35;QuickSort;Tablica;int;25000;Centre;NULL;2,1156
36;QuickSort;Tablica;int;25000;Centre;NULL;2,6556
37;QuickSort;Tablica;int;25000;Centre;NULL;2,3691
38;QuickSort;Tablica;int;25000;Centre;NULL;2,2825
39;QuickSort;Tablica;int;25000;Centre;NULL;2,237
40;QuickSort;Tablica;int;25000;Centre;NULL;2,5964
41;QuickSort;Tablica;int;25000;Centre;NULL;2,2279
42;QuickSort;Tablica;int;25000;Centre;NULL;2,1448
43;QuickSort;Tablica;int;25000;Centre;NULL;2,1884
44;QuickSort;Tablica;int;25000;Centre;NULL;2,1286
45;QuickSort;Tablica;int;25000;Centre;NULL;2,1208
46;QuickSort;Tablica;int;25000;Centre;NULL;2,1748
47;QuickSort;Tablica;int;25000;Centre;NULL;2,1917
48;QuickSort;Tablica;int;25000;Centre;NULL;2,3396
49;QuickSort;Tablica;int;25000;Centre;NULL;2,1709
50;QuickSort;Tablica;int;25000;Centre;NULL;2,1493

SREDNIA;;;;; ; ;2,34958
