Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Distribution;Czas_ms
40;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;2.6212
41;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;2.3055
42;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;2.7187
43;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;3.8136
44;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;2.6203
45;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;3.1455
46;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;2.1077
47;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;2.1026
48;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;2.2872
49;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;2.3225
50;QuickSort;Tablica;int;25000;Centre;NULL;Ascending;2.309

SREDNIA;;;;; ; ;2.38583
1;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.1663
2;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.6735
3;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.7727
4;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.2514
5;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.07
6;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.9357
7;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.4208
8;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.1072
9;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.9983
10;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.8676
11;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.1013
12;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.9823
13;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.0237
14;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.8843
15;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.5855
16;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.926
17;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.3212
18;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.3573
19;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.7656
20;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;5.0021
21;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.1249
22;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.9612
23;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.9907
24;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.9565
25;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.3524
26;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.8752
27;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.0414
28;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.8536
29;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.1494
30;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.0007
31;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.1747
32;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.3772
33;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.0165
34;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.2315
35;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.2117
36;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.3169
37;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.5269
38;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.2931
39;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.112
40;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.8589
41;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.9832
42;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.2765
43;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.9995
44;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.3097
45;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.9094
46;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.1921
47;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.0431
48;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.2252
49;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;3.8501
50;QuickSort;Tablica;int;25000;Centre;NULL;Ascending50Per;4.1992

SREDNIA;;;;; ; ;4.15252
1;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.4287
2;QuickSort;Tablica;int;25000;Centre;NULL;Descending;3.2483
3;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.5311
4;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.84
5;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.643
6;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.4022
7;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.4963
8;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.5096
9;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.3975
10;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.4328
11;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.5567
12;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.4088
13;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.4081
14;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.5782
15;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.4456
16;QuickSort;Tablica;int;25000;Centre;NULL;Descending;3.5298
17;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.756
18;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.7157
19;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.7445
20;QuickSort;Tablica;int;25000;Centre;NULL;Descending;4.1246
21;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.647
22;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.7246
23;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6643
24;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6684
25;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6293
26;QuickSort;Tablica;int;25000;Centre;NULL;Descending;3.0266
27;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6531
28;QuickSort;Tablica;int;25000;Centre;NULL;Descending;4.3019
29;QuickSort;Tablica;int;25000;Centre;NULL;Descending;3.0827
30;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6387
31;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.8667
32;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6166
33;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6199
34;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6786
35;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6318
36;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6253
37;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6831
38;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.7005
39;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.4967
40;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6538
41;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.441
42;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.7881
43;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.863
44;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.8603
45;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.9114
46;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.5632
47;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.431
48;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.4043
49;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.5981
50;QuickSort;Tablica;int;25000;Centre;NULL;Descending;2.6179

SREDNIA;;;;; ; ;2.72571
1;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.1595
2;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.3452
3;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;6.4099
4;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.2822
5;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.3791
6;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.1673
7;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;4.9001
8;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.465
9;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.0991
10;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.35
11;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.3387
12;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.9602
13;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.0889
14;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.5125
15;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.2464
16;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.1409
17;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.1119
18;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.3153
19;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.0301
20;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.0076
21;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.2443
22;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.4748
23;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.3482
24;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;6.0774
25;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.3575
26;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.6179
27;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.5426
28;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.6075
29;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.3922
30;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.0287
31;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.5286
32;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.2256
33;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.451
34;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.1896
35;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;4.9054
36;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.2834
37;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;4.9104
38;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.0774
39;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.001
40;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.0556
41;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.3966
42;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.1195
43;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;4.9076
44;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.5671
45;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;4.8636
46;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;4.8118
47;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;4.9636
48;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.0845
49;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.1522
50;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Random;5.085

SREDNIA;;;;; ; ;5.27161
1;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.4285
2;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.1588
3;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.8122
4;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;4.3144
5;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.7176
6;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.6766
7;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.4255
8;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;4.0559
9;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.5946
10;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.2742
11;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.5884
12;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.1496
13;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.225
14;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.5641
15;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.3135
16;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;4.2055
17;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;4.3174
18;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.8377
19;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.9671
20;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;8.2123
21;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.2606
22;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9602
23;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.1035
24;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.0381
25;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.0532
26;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9317
27;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.1345
28;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9104
29;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.884
30;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.1863
31;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.1072
