Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Distribution;Czas_ms
42;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,3335
43;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5054
44;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,6074
45;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,4399
46;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,1401
47;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,9313
48;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,5915
49;QuickSort;Tablica;float;25000;Centre;NULL;Random;4,7902
50;QuickSort;Tablica;float;25000;Centre;NULL;Random;5,8804
;;;;;;;;
SREDNIA;;;;; ; ;5,13195;
1;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,4196
2;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,9133
3;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,3259
4;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,2648
5;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,1858
6;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,7629
7;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,26
8;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,758
9;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,0865
10;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,373
11;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,465
12;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,5517
13;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,2993
14;QuickSort;Tablica;string;25000;Centre;NULL;Random;9,9549
15;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,6067
16;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,7268
17;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,2341
18;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,8426
19;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,5345
20;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,5462
21;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,9014
22;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,323
23;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,3782
24;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,8187
25;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,5744
26;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,8226
27;QuickSort;Tablica;string;25000;Centre;NULL;Random;12,0378
28;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,7925
29;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,5893
30;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,0271
31;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,6739
32;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,7602
33;QuickSort;Tablica;string;25000;Centre;NULL;Random;13,4514
34;QuickSort;Tablica;string;25000;Centre;NULL;Random;12,0309
35;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,02
36;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,144
37;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,6682
38;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,2778
39;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,1064
40;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,8576
41;QuickSort;Tablica;string;25000;Centre;NULL;Random;12,0184
42;QuickSort;Tablica;string;25000;Centre;NULL;Random;13,9006
43;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,1422
44;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,8682
45;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,1449
46;QuickSort;Tablica;string;25000;Centre;NULL;Random;11,1813
47;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,3771
48;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,5144
49;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,5302
50;QuickSort;Tablica;string;25000;Centre;NULL;Random;10,1412
;;;;;;;;
SREDNIA;;;;; ; ;11,0037;
1;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;626,075
2;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;652,365
3;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;659,002
4;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;698,455
5;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;656,463
6;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;681,032
7;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;675,094
8;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;666,707
9;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;648,797
10;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;640,205
11;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;658,586
12;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;638,186
13;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;744,83
14;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;692,666
15;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;659,273
16;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;641,896
17;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;659,203
18;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;638,153
19;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;833,644
20;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;667,003
21;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;647,213
22;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;665,903
23;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;645,819
24;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;661,287
25;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;646,55
26;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;839,2
27;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;659,145
28;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;675,989
29;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;649,133
30;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;677,417
31;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;662,471
32;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;670,545
33;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;670,307
34;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;829,656
35;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;700,307
36;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;687,278
37;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;677,491
38;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;652,078
39;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;679,081
40;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;660,67
41;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;676,477
42;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;673,746
43;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;675,779
44;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;688,554
45;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;679,559
46;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;676,611
47;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;663,615
48;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;686,161
49;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;680,343
50;QuickSort;Tablica;unsigned int;25000;Centre;NULL;Random;713,611
;;;;;;;;
SREDNIA;;;;; ; ;678,193;
